File;UUID;English;Russian
Ln\AMER_Hints.lsx;HINT_FORMATION;"Many skills have a reduced character level requirement in Epic Encounters, so go ahead and experiment with all that top-shelf stuff early on. Besides, you&apos;ll probably need it anyway.";
Ln\AMER_Hints.lsx;HINT_WANDHOTBAR;Diversify your disables! Epic Encounters imposes a two for every five turns limit on most effects that completely disable an enemy.;
Ln\AMER_Hints.lsx;HINT_DUALWIELD;While wielding two weapons, they will suffer a 30% damage penalty. To reduce this, invest points in Dual Wielding.;
Ln\AMER_Hints.lsx;HINT_CLASSLESS;Today a Wizard, tomorrow a Battlemage: Your starting stats don't have to determine the rest of your game. In Epic Encounters, you start with one respecialization point, and you can buy more from vendors- so don't be afraid to try new things!;
Ln\AMER_Hints.lsx;HINT_TRADE;"Empowered skills are improved variants of existing skills that can only appear on equipment. You can always see which part of the skill is altered by looking for &lt;font color=""00ffff""&gt;colored text&lt;/font&gt; on the skill card.";
Ln\AMER_Hints.lsx;HINT_ALLIANCE;In Epic Encounters spears are classified as Dexterity weapons- so go ahead, be the next Oberyn! Just try to keep a cool head.;
Ln\AMER_Hints.lsx;HINT_PETPAL;Epic Encounters reworks Charisma into the new ability, Bard. With its awesome new reactions you don't have to feel bad about picking it to win arguments anymore!;
Ln\AMER_Hints.lsx;HINT_MAPMARKER;Be sure to pay Epic Encounters' additional areas a visit. You can find the entrace to this content from the later portion of the Phantom Forest- it's tough to miss.;
Ln\AMER_Items.lsx;AMER_LOOT_TormentedSwole;Anguished Soul;
Ln\AMER_Items.lsx;WPN_Arbalest_J;Colossal Arbalest;
Ln\AMER_Items.lsx;AMER_RezSickness_Description;abcdefg;абвгде
Ln\AMER_Items.lsx;AMER_LOOT_Essence_Air_A;Air Essence;Сущность воздуха
Ln\AMER_Items.lsx;AMER_LOOT_Essence_Earth_A;Earth Essence;Сущность земли
Ln\AMER_Items.lsx;AMER_LOOT_Essence_Water_A;Water Essence;Сущность воды
Ln\AMER_Items.lsx;AMER_LOOT_Essence_Fire_A;Fire Essence;Сущность огня
Ln\AMER_Items.lsx;AMER_LOOT_Essence_Shadow_A;Shadow Essence;Сущность тени
Ln\AMER_Items.lsx;WPN_AMER_Wand_Fire_R;Ascendant Fire Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Air_R;Ascendant Air Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Water_R;Ascendant Water Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Earth_R;Ascendant Earth Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Shadow_H;Ascendant Shadow Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Royal_Shield_G;Commander's Elven Shield;
Ln\AMER_Items.lsx;WPN_AMER_Royal_Shield_H;Ascendant Fortress;
Ln\AMER_Items.lsx;WPN_AMER_Royal_Shield_I;Ascendant Fortress;
Ln\AMER_Items.lsx;WPN_AMER_Royal_Shield_J;Ascendant Fortress;
Ln\AMER_Items.lsx;WPN_AMER_Royal_Shield_K;Ascendant Fortress;
Ln\AMER_Items.lsx;WPN_AMER_Royal_Shield_L;Ascendant Fortress;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Shield_B_C;Ascendant Tenebrium Bulwark;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Shield_B_D;Ascendant Tenebrium Bulwark;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Shield_B_E;Ascendant Tenebrium Bulwark;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Shield_B_F;Ascendant Tenebrium Bulwark;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Shield_B_G;Ascendant Tenebrium Bulwark;
Ln\AMER_Items.lsx;ARM_AMER_RivetedCanvasBrigandine_C;Ascendant Brigandine;
Ln\AMER_Items.lsx;ARM_AMER_RivetedCanvasBrigandine_D;Ascendant Brigandine;
Ln\AMER_Items.lsx;ARM_AMER_RivetedCanvasBrigandine_E;Ascendant Brigandine;
Ln\AMER_Items.lsx;ARM_AMER_RivetedCanvasBrigandine_F;Ascendant Brigandine;
Ln\AMER_Items.lsx;ARM_AMER_RivetedCanvasBrigandine_G;Ascendant Brigandine;
Ln\AMER_Items.lsx;ARM_AMER_Leather_R_Torso;Ascendant Wyrmskin;
Ln\AMER_Items.lsx;ARM_AMER_Leather_S_Torso;Ascendant Wyrmskin;
Ln\AMER_Items.lsx;ARM_AMER_Leather_T_Torso;Ascendant Wyrmskin;
Ln\AMER_Items.lsx;ARM_AMER_Leather_U_Torso;Ascendant Wyrmskin;
Ln\AMER_Items.lsx;ARM_AMER_Leather_V_Torso;Ascendant Wyrmskin;
Ln\AMER_Items.lsx;ARM_AMER_DragonScaleArmor_C;Ascendant Demonscale;
Ln\AMER_Items.lsx;ARM_AMER_DragonScaleArmor_D;Ascendant Demonscale;
Ln\AMER_Items.lsx;ARM_AMER_DragonScaleArmor_E;Ascendant Demonscale;
Ln\AMER_Items.lsx;ARM_AMER_DragonScaleArmor_F;Ascendant Demonscale;
Ln\AMER_Items.lsx;ARM_AMER_DragonScaleArmor_G;Ascendant Demonscale;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Body_L;Ascendant Voidplate;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Body_M;Ascendant Voidplate;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Body_N;Ascendant Voidplate;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Body_O;Ascendant Voidplate;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Body_P;Ascendant Voidplate;
Ln\AMER_Items.lsx;ARM_AMER_Robe_T_Torso;Ascendant Wrappings;
Ln\AMER_Items.lsx;ARM_AMER_Robe_U_Torso;Ascendant Wrappings;
Ln\AMER_Items.lsx;ARM_AMER_Robe_V_Torso;Ascendant Wrappings;
Ln\AMER_Items.lsx;ARM_AMER_Robe_W_Torso;Ascendant Wrappings;
Ln\AMER_Items.lsx;ARM_AMER_Robe_X_Torso;Ascendant Wrappings;
Ln\AMER_Items.lsx;ARM_AMER_Garment_N;Ascendant Sarong;
Ln\AMER_Items.lsx;ARM_AMER_Garment_O;Ascendant Sarong;
Ln\AMER_Items.lsx;ARM_AMER_Garment_P;Ascendant Sarong;
Ln\AMER_Items.lsx;ARM_AMER_Garment_Q;Ascendant Sarong;
Ln\AMER_Items.lsx;ARM_AMER_Garment_R;Ascendant Sarong;
Ln\AMER_Items.lsx;ARM_AMER_Leather_Boots_N;Ascendant Planestride;
Ln\AMER_Items.lsx;ARM_AMER_Leather_Boots_O;Ascendant Planestride;
Ln\AMER_Items.lsx;ARM_AMER_Leather_Boots_P;Ascendant Planestride;
Ln\AMER_Items.lsx;ARM_AMER_Leather_Boots_Q;Ascendant Planestride;
Ln\AMER_Items.lsx;ARM_AMER_Leather_Boots_R;Ascendant Planestride;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Boots_D;Ascendant Trappings;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Boots_E;Ascendant Trappings;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Boots_F;Ascendant Trappings;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Boots_G;Ascendant Trappings;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Boots_H;Ascendant Trappings;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Belt_G;Ascendant Brace;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Belt_H;Ascendant Brace;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Belt_I;Ascendant Brace;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Belt_J;Ascendant Brace;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Belt_K;Ascendant Brace;
Ln\AMER_Items.lsx;ARM_AMER_Leather_Q_Bracers;Ascendant Voidshapers;
Ln\AMER_Items.lsx;ARM_AMER_Leather_R_Bracers;Ascendant Voidshapers;
Ln\AMER_Items.lsx;ARM_AMER_Leather_S_Bracers;Ascendant Voidshapers;
Ln\AMER_Items.lsx;ARM_AMER_Leather_T_Bracers;Ascendant Voidshapers;
Ln\AMER_Items.lsx;ARM_AMER_Leather_U_Bracers;Ascendant Voidshapers;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Gloves_D;Ascendant Planeshapers;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Gloves_E;Ascendant Planeshapers;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Gloves_F;Ascendant Planeshapers;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Gloves_G;Ascendant Planeshapers;
Ln\AMER_Items.lsx;ARM_AMER_Plate_Gloves_H;Ascendant Planeshapers;
Ln\AMER_Items.lsx;ARM_AMER_Leather_N_Helmet;Ascendant Gaze;
Ln\AMER_Items.lsx;ARM_AMER_Leather_O_Helmet;Ascendant Gaze;
Ln\AMER_Items.lsx;ARM_AMER_Leather_P_Helmet;Ascendant Gaze;
Ln\AMER_Items.lsx;ARM_AMER_Leather_Q_Helmet;Ascendant Gaze;
Ln\AMER_Items.lsx;ARM_AMER_Leather_R_Helmet;Ascendant Gaze;
Ln\AMER_Items.lsx;ARM_AMER_Leather_Mask_Helmet_F;Ascendant Guise;
Ln\AMER_Items.lsx;ARM_AMER_Leather_Mask_Helmet_G;Ascendant Guise;
Ln\AMER_Items.lsx;ARM_AMER_Leather_Mask_Helmet_H;Ascendant Guise;
Ln\AMER_Items.lsx;ARM_AMER_Leather_Mask_Helmet_I;Ascendant Guise;
Ln\AMER_Items.lsx;ARM_AMER_Leather_Mask_Helmet_J;Ascendant Guise;
Ln\AMER_Items.lsx;ARM_AMER_Metal_N_Helmet;Ascendant Casque;
Ln\AMER_Items.lsx;ARM_AMER_Metal_O_Helmet;Ascendant Casque;
Ln\AMER_Items.lsx;ARM_AMER_Metal_P_Helmet;Ascendant Casque;
Ln\AMER_Items.lsx;ARM_AMER_Metal_Q_Helmet;Ascendant Casque;
Ln\AMER_Items.lsx;ARM_AMER_Metal_R_Helmet;Ascendant Casque;
Ln\AMER_Items.lsx;ARM_AMER_Gold_Ring_M;Ascendant Circuit;
Ln\AMER_Items.lsx;ARM_AMER_Gold_Ring_N;Ascendant Circuit;
Ln\AMER_Items.lsx;ARM_AMER_Gold_Ring_O;Ascendant Circuit;
Ln\AMER_Items.lsx;ARM_AMER_Gold_Ring_P;Ascendant Circuit;
Ln\AMER_Items.lsx;ARM_AMER_Gold_Ring_Q;Ascendant Circuit;
Ln\AMER_Items.lsx;ARM_AMER_Gold_Amulet_D;Ascendant Strand;
Ln\AMER_Items.lsx;ARM_AMER_Gold_Amulet_E;Ascendant Strand;
Ln\AMER_Items.lsx;ARM_AMER_Gold_Amulet_F;Ascendant Strand;
Ln\AMER_Items.lsx;ARM_AMER_Gold_Amulet_G;Ascendant Strand;
Ln\AMER_Items.lsx;ARM_AMER_Gold_Amulet_H;Ascendant Strand;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Fire_S;Ascendant Fire Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Fire_T;Ascendant Fire Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Fire_U;Ascendant Fire Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Fire_V;Ascendant Fire Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Air_S;Ascendant Air Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Air_T;Ascendant Air Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Air_U;Ascendant Air Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Air_V;Ascendant Air Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Water_S;Ascendant Water Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Water_T;Ascendant Water Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Water_U;Ascendant Water Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Water_V;Ascendant Water Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Earth_S;Ascendant Earth Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Earth_T;Ascendant Earth Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Earth_U;Ascendant Earth Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Earth_V;Ascendant Earth Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Shadow_I;Ascendant Shadow Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Shadow_J;Ascendant Shadow Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Shadow_K;Ascendant Shadow Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Wand_Shadow_L;Ascendant Shadow Scepter;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Crossbow_H;Ascendant Tenebrium Bolter;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Crossbow_I;Ascendant Tenebrium Bolter;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Crossbow_J;Ascendant Tenebrium Bolter;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Crossbow_K;Ascendant Tenebrium Bolter;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Crossbow_L;Ascendant Tenebrium Bolter;
Ln\AMER_Items.lsx;WPN_AMER_Bow_A_1_Composite_Bow_C;Ascendant Recurve;
Ln\AMER_Items.lsx;WPN_AMER_Bow_A_1_Composite_Bow_D;Ascendant Recurve;
Ln\AMER_Items.lsx;WPN_AMER_Bow_A_1_Composite_Bow_E;Ascendant Recurve;
Ln\AMER_Items.lsx;WPN_AMER_Bow_A_1_Composite_Bow_F;Ascendant Recurve;
Ln\AMER_Items.lsx;WPN_AMER_Bow_A_1_Composite_Bow_G;Ascendant Recurve;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Bow_H;Ascendant Tenebrium Recurve;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Bow_I;Ascendant Tenebrium Recurve;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Bow_J;Ascendant Tenebrium Recurve;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Bow_K;Ascendant Tenebrium Recurve;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Bow_L;Ascendant Tenebrium Recurve;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_C_Water;Ascendant Water Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_D_Water;Ascendant Water Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_E_Water;Ascendant Water Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_F_Water;Ascendant Water Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_G_Water;Ascendant Water Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_C_Fire;Ascendant Fire Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_D_Fire;Ascendant Fire Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_E_Fire;Ascendant Fire Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_F_Fire;Ascendant Fire Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_G_Fire;Ascendant Fire Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_C_Air;Ascendant Air Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_D_Air;Ascendant Air Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_E_Air;Ascendant Air Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_F_Air;Ascendant Air Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_G_Air;Ascendant Air Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_C_Shadow;Ascendant Shadow Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_D_Shadow;Ascendant Shadow Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_E_Shadow;Ascendant Shadow Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_F_Shadow;Ascendant Shadow Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Goblins_Staff_A_BlueGlowStaff_G_Shadow;Ascendant Shadow Conflux;
Ln\AMER_Items.lsx;WPN_AMER_Mercygiver_D;Ascendant Kris;
Ln\AMER_Items.lsx;WPN_AMER_Mercygiver_E;Ascendant Kris;
Ln\AMER_Items.lsx;WPN_AMER_Mercygiver_F;Ascendant Kris;
Ln\AMER_Items.lsx;WPN_AMER_Mercygiver_G;Ascendant Kris;
Ln\AMER_Items.lsx;WPN_AMER_Mercygiver_H;Ascendant Kris;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_DaggerPush_H;Ascendant Tenebrium Misericorde;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_DaggerPush_I;Ascendant Tenebrium Misericorde;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_DaggerPush_J;Ascendant Tenebrium Misericorde;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_DaggerPush_K;Ascendant Tenebrium Misericorde;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_DaggerPush_L;Ascendant Tenebrium Misericorde;
Ln\AMER_Items.lsx;WPN_AMER_DarkMinions_BigSword_D;Ascendant Planar Edge;
Ln\AMER_Items.lsx;WPN_AMER_DarkMinions_BigSword_E;Ascendant Planar Edge;
Ln\AMER_Items.lsx;WPN_AMER_DarkMinions_BigSword_F;Ascendant Planar Edge;
Ln\AMER_Items.lsx;WPN_AMER_DarkMinions_BigSword_G;Ascendant Planar Edge;
Ln\AMER_Items.lsx;WPN_AMER_DarkMinions_BigSword_H;Ascendant Planar Edge;
Ln\AMER_Items.lsx;WPN_AMER_Sword_Tenebrium_H;Ascendant Tenebrium Warpblade;
Ln\AMER_Items.lsx;WPN_AMER_Sword_Tenebrium_I;Ascendant Tenebrium Warpblade;
Ln\AMER_Items.lsx;WPN_AMER_Sword_Tenebrium_J;Ascendant Tenebrium Warpblade;
Ln\AMER_Items.lsx;WPN_AMER_Sword_Tenebrium_K;Ascendant Tenebrium Warpblade;
Ln\AMER_Items.lsx;WPN_AMER_Sword_Tenebrium_L;Ascendant Tenebrium Warpblade;
Ln\AMER_Items.lsx;WPN_AMER_DarkMinions_DoubleAxe_C;Ascendant Naga;
Ln\AMER_Items.lsx;WPN_AMER_DarkMinions_DoubleAxe_D;Ascendant Naga;
Ln\AMER_Items.lsx;WPN_AMER_DarkMinions_DoubleAxe_E;Ascendant Naga;
Ln\AMER_Items.lsx;WPN_AMER_DarkMinions_DoubleAxe_F;Ascendant Naga;
Ln\AMER_Items.lsx;WPN_AMER_DarkMinions_DoubleAxe_G;Ascendant Naga;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Axe_H;Ascendant Tenebrium Gnasher;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Axe_I;Ascendant Tenebrium Gnasher;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Axe_J;Ascendant Tenebrium Gnasher;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Axe_K;Ascendant Tenebrium Gnasher;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Axe_L;Ascendant Tenebrium Gnasher;
Ln\AMER_Items.lsx;WPN_AMER_Human_Normal_WarHammer_B_B;Ascendant Gavel;
Ln\AMER_Items.lsx;WPN_AMER_Human_Normal_WarHammer_B_C;Ascendant Gavel;
Ln\AMER_Items.lsx;WPN_AMER_Human_Normal_WarHammer_B_D;Ascendant Gavel;
Ln\AMER_Items.lsx;WPN_AMER_Human_Normal_WarHammer_B_E;Ascendant Gavel;
Ln\AMER_Items.lsx;WPN_AMER_Human_Normal_WarHammer_B_F;Ascendant Gavel;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Hammer_H;Ascendant Tenebrium Gavel;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Hammer_I;Ascendant Tenebrium Gavel;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Hammer_J;Ascendant Tenebrium Gavel;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Hammer_K;Ascendant Tenebrium Gavel;
Ln\AMER_Items.lsx;WPN_AMER_Blackrock_Hammer_L;Ascendant Tenebrium Gavel;
Ln\AMER_Items.lsx;WPN_AMER_Cyclops_Staff_A_Scythe_C;Ascendant Harvester;
Ln\AMER_Items.lsx;WPN_AMER_Cyclops_Staff_A_Scythe_D;Ascendant Harvester;
Ln\AMER_Items.lsx;WPN_AMER_Cyclops_Staff_A_Scythe_E;Ascendant Harvester;
